id,created_by,property_id,address,address_object,is_address_autocomplete,created_at
002ce071-20f9-3172-9c5e-13220cbee7f1,741e2915-6c1c-3057-9579-37a040b1f806,99c9a74e-a344-3477-86da-0cbbb5200407,"Bergstrom Wall 165, 20695 Hamburg","{""city"": ""Berlin"", ""country"": ""DE"", ""postal_code"": 12243, ""street_name"": ""Ortiz Stream"", ""street_number"": 66}",false,
00bd2136-9f33-3f34-a978-35e698c195d5,266c3025-b1bd-31aa-91ee-2a845cdc373e,522d8727-f6c7-37d2-9f5a-374387e40fff,,"{""city"": ""Berlin"", ""country"": ""DE"", ""postal_code"": 13015, ""street_name"": ""Schuster Isle"", ""street_number"": 71}",true,
030d23e8-bafe-3e77-8c21-afca285ab012,edebdbf7-c6bc-3867-9787-6ff20132120c,42e04b0a-37df-3753-936b-ba21f7af5714,"Kuhn Trafficway 140, 21024 Hamburg",,false,
03eaf827-32f8-36d2-8af5-1bbb1d01eb90,7a209a5c-a1a2-38b5-ac4e-9f2813ec6ca2,c848fcfa-6d76-3b4f-868f-0a4f8239c41e,,"{""city"": ""Berlin"", ""country"": ""DE"", ""postal_code"": 13650, ""street_name"": ""Elwyn Valleys"", ""street_number"": 80}",true,
041a5076-66b3-3488-8804-00497cf0dac8,0f0f4a15-bb10-31f0-823e-b43f9f6df1c1,cff1b198-e70b-341a-9dd7-8e02dbf05c2b,,"{""city"": ""Berlin"", ""country"": ""DE"", ""postal_code"": 12480, ""street_name"": ""Daniela Divide"", ""street_number"": 38}",true,
065f95fc-25e9-3814-b3d2-a08952ff5229,9c2e2535-c2f0-3fd7-9b3c-d14de6cf9835,eab45b6c-03a3-309c-92d6-bfd855f1b1cf,"Swift Corners 164, 12589 Berlin",,false,2024-11-19 15:04:41
07fd8259-3ff2-3690-9333-ac3319f71885,1eec5d93-b4fb-3180-9654-911023d5c46e,fd9812d5-20e4-385d-b1b3-b971d8b135ea,"Ruecker Springs 91, 11460 Berlin",,false,
08710a71-1c05-3c31-80cb-eb70a464520b,741e2915-6c1c-3057-9579-37a040b1f806,9515e2d6-c82d-3c4d-af95-034567b89be9,"Kimberly Courts 21, 20553 Hamburg",,false,
0accead8-10df-357a-9338-f2d6b2567acf,2df80de1-65c9-3c17-a449-abb6b88ea225,f3aacb75-fa0a-32f7-a313-15e0721fa4ce,,"{""city"": ""Berlin"", ""country"": ""DE"", ""postal_code"": 12380, ""street_name"": ""Leuschke Plains"", ""street_number"": 30}",true,2024-11-19 15:04:41
0b8c7dfd-ffc1-32f0-9eaa-f57207b21777,e13e013f-a560-32db-91db-2065df79ccce,8bca006b-392e-3cb6-ac78-d29af4460cea,,"{""city"": ""Berlin"", ""country"": ""DE"", ""postal_code"": 13223, ""street_name"": ""Hauck Light"", ""street_number"": 85}",true,
