id,created_by,property_id,street,street_number,postal_code,city,country_iso
002ce071-20f9-3172-9c5e-13220cbee7f1,741e2915-6c1c-3057-9579-37a040b1f806,99c9a74e-a344-3477-86da-0cbbb5200407,Ortiz Stream,66,12243,Berlin,DE
00bd2136-9f33-3f34-a978-35e698c195d5,266c3025-b1bd-31aa-91ee-2a845cdc373e,522d8727-f6c7-37d2-9f5a-374387e40fff,Schuster Isle,71,13015,Berlin,DE
030d23e8-bafe-3e77-8c21-afca285ab012,edebdbf7-c6bc-3867-9787-6ff20132120c,42e04b0a-37df-3753-936b-ba21f7af5714,Kuhn Trafficway,140,21024,Hamburg,DE
03eaf827-32f8-36d2-8af5-1bbb1d01eb90,7a209a5c-a1a2-38b5-ac4e-9f2813ec6ca2,c848fcfa-6d76-3b4f-868f-0a4f8239c41e,Elwyn Valleys,80,13650,Berlin,DE
041a5076-66b3-3488-8804-00497cf0dac8,0f0f4a15-bb10-31f0-823e-b43f9f6df1c1,cff1b198-e70b-341a-9dd7-8e02dbf05c2b,Daniela Divide,38,12480,Berlin,DE
065f95fc-25e9-3814-b3d2-a08952ff5229,9c2e2535-c2f0-3fd7-9b3c-d14de6cf9835,eab45b6c-03a3-309c-92d6-bfd855f1b1cf,Swift Corners,164,12589,Berlin,DE
07fd8259-3ff2-3690-9333-ac3319f71885,1eec5d93-b4fb-3180-9654-911023d5c46e,fd9812d5-20e4-385d-b1b3-b971d8b135ea,Ruecker Springs,91,11460,Berlin,DE
08710a71-1c05-3c31-80cb-eb70a464520b,741e2915-6c1c-3057-9579-37a040b1f806,9515e2d6-c82d-3c4d-af95-034567b89be9,Kimberly Courts,21,20553,Hamburg,DE
0accead8-10df-357a-9338-f2d6b2567acf,2df80de1-65c9-3c17-a449-abb6b88ea225,f3aacb75-fa0a-32f7-a313-15e0721fa4ce,Leuschke Plains,30,12380,Berlin,DE
0b8c7dfd-ffc1-32f0-9eaa-f57207b21777,e13e013f-a560-32db-91db-2065df79ccce,8bca006b-392e-3cb6-ac78-d29af4460cea,Hauck Light,85,13223,Berlin,DE
0c0b348f-9545-3bba-945a-0c09f8c896a7,3f03dea8-1cdf-3968-9811-0881de5823b5,fabe93bf-0055-3d89-b07d-39cbae1535e4,Bret Meadow,70,50822,Cologne,DE
0c69dc89-30cf-3feb-88d7-3727fa2fb8cf,11fb1eac-fbb3-34a8-9669-42ead18abcbe,89e7a23c-d29b-35de-9efb-7cf407e41294,Mante Station,196,12768,Berlin,DE
10249de1-3920-3eb7-aecb-92fbd6c0ab21,25d35441-d624-3a46-931f-7c05dad78cc0,91b44eaf-54a9-3207-a9bf-770e0894cdaf,Mann Locks,142,11324,Berlin,DE
116c7b2d-35b2-308c-baca-1835bc1c88f1,3f03dea8-1cdf-3968-9811-0881de5823b5,38fd6542-e7bb-3882-be4a-7d3619dc8cbe,Breitenberg Lodge,84,20600,Hamburg,DE
16b8f81b-b8a8-3985-a4c3-adf360b6d1ba,0f0f4a15-bb10-31f0-823e-b43f9f6df1c1,36f8ce39-83b2-3bd9-8d52-589d3a165065,Gottlieb Harbor,84,11428,Berlin,DE
18393de7-7746-3b5b-a06e-f3dc2f63910a,25d35441-d624-3a46-931f-7c05dad78cc0,d6d114f9-c6a9-37dd-8763-9866f6e61b14,Christina Row,191,14148,Berlin,DE
19e49028-d2b7-3782-999d-718a7548e4da,266c3025-b1bd-31aa-91ee-2a845cdc373e,5698a1e0-b33e-38cf-965c-0d71a3756bca,Una Plaza,72,10598,Berlin,DE
1ba663af-125f-39d9-b0c7-87b69e42d530,9c2e2535-c2f0-3fd7-9b3c-d14de6cf9835,4f013edd-d61c-3cdc-b09a-fbc28a3dd802,Herman Corners,90,10850,Berlin,DE
1befd7df-de89-3f9f-8ac2-96f6aeb09107,a6d36034-1aad-3c68-9383-0b372fe51abd,5a5bde14-bab2-37da-bfa7-0381c7ac1f35,Vita Cliffs,100,60343,Frankfurt,DE
1c4a57bf-f485-3d9e-8499-cd8a66d1cfc6,9c2e2535-c2f0-3fd7-9b3c-d14de6cf9835,485c017e-26bc-3301-82ae-05c03d8c90e2,O'Conner Stravenue,1,10443,Berlin,DE
1e1c348b-d63b-324b-906e-169ad60421ba,7d224af6-a62d-354a-b5a4-5dd5f4e5ae1b,5b193d65-9ea8-3ec5-adf1-9926a56821b6,Rogahn Heights,153,13002,Berlin,DE
1e5f051d-fb80-3378-abf6-a894c27c59b3,1eec5d93-b4fb-3180-9654-911023d5c46e,33121f4b-3705-331c-8194-c2649e24f5ce,Ankunding Locks,107,14009,Berlin,DE
263b1b8d-6f4d-376c-adb0-2d269d4c533c,edebdbf7-c6bc-3867-9787-6ff20132120c,62c60140-4175-3f27-a1c2-57bd4cc73da4,Greenfelder Port,35,13142,Berlin,DE
266d3874-551f-3a26-aee1-8506200380ae,741e2915-6c1c-3057-9579-37a040b1f806,35724ea5-3374-308b-b98b-1c5ea94ab0b0,Haskell Port,40,11266,Berlin,DE
